run_id,dataset,scene,role,views,seed,method,start_step,end_step,status,psnr,ssim,lpips,geometry_error,log_path
LLFF_leaves_v3_s3_A1,LLFF,leaves,confirmatory,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_leaves_v3_s3_B,LLFF,leaves,confirmatory,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s1_A0,LLFF,orchids,confirmatory,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s1_A1,LLFF,orchids,confirmatory,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s1_B,LLFF,orchids,confirmatory,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s2_A0,LLFF,orchids,confirmatory,3,2,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s2_A1,LLFF,orchids,confirmatory,3,2,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s2_B,LLFF,orchids,confirmatory,3,2,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s3_A0,LLFF,orchids,confirmatory,3,3,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s3_A1,LLFF,orchids,confirmatory,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_orchids_v3_s3_B,LLFF,orchids,confirmatory,3,3,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s1_A0,LLFF,trex,confirmatory,3,1,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s1_A1,LLFF,trex,confirmatory,3,1,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s1_B,LLFF,trex,confirmatory,3,1,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s2_A0,LLFF,trex,confirmatory,3,2,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s2_A1,LLFF,trex,confirmatory,3,2,A1,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s2_B,LLFF,trex,confirmatory,3,2,B,10000,12000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s3_A0,LLFF,trex,confirmatory,3,3,A0,0,10000,NR,NR,NR,NR,NR,NR
LLFF_trex_v3_s3_A1,LLFF,trex,confirmatory,3,3,A1,10000,12000,NR,NR,NR,NR,NR,NR
